Cmdline: /system/xbin/simpleperf record -g am start com.mediatek.camera -o lauchcamera.data
Samples: 3637 of event 'cpu-cycles'
Event count: 853191335

Overhead  Command          Pid   Tid   Shared Object                               Symbol
0.06%     am               2885  2885  /system/lib/libc.so                         arena_run_reg_alloc
0.06%     am               2885  2885  /system/bin/linker                          [linker]sleb128_decoder::pop_front()
0.06%     am               2885  2885  /system/bin/linker                          [linker]SymbolName::elf_hash()
0.06%     main             2885  2885  /system/lib/libart.so                       art::Thread::AssertNoPendingException() const
0.06%     main             2885  2885  /system/bin/linker                          [linker]soinfo::find_symbol_by_name(SymbolName&, version_info const*, elf32_sym const**) const
0.06%     app_process      2885  2885  /system/bin/linker                          [linker]strlen
0.06%     main             2885  2885  /system/bin/linker                          [linker]bool soinfo::relocate<plain_reloc_iterator>(VersionTracker const&, plain_reloc_iterator&&, LinkedList<soinfo, SoinfoListAllocator> const&, LinkedList<soinfo, SoinfoListAllocator> const&)
0.06%     app_process      2885  2885  /system/bin/linker                          [linker]soinfo::set_soname(char const*)
0.06%     Binder:2885_1    2885  3132  unknown                                     unknown
0.06%     main             2885  2885  /system/lib/libart.so                       art::BuildInternalStackTraceVisitor<false>::VisitFrame()
0.06%     main             2885  2885  /system/lib/libart.so                       art::mirror::Class::FindDeclaredDirectMethod(art::StringPiece const&, art::StringPiece const&, unsigned int)
0.06%     Signal Catcher   2885  3088  [kernel.kallsyms]                           unknown
0.06%     app_process      2885  2885  /system/bin/linker                          [linker]__strchr_chk
0.06%     am               2885  2885  /system/lib/libc.so                         je_arena_malloc_hard
0.06%     app_process      2885  2885  /system/bin/linker                          [linker]soinfo::add_child(soinfo*)
0.06%     main             2885  2885  /system/bin/linker                          [linker].udivsi3_skip_div0_test
0.06%     main             2885  2885  /system/bin/linker                          [linker]mprotect
0.06%     main             2885  2885  /system/bin/linker                          [linker]realpath_fd(int, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
0.06%     main             2885  2885  /system/lib/libart.so                       art::Monitor::MonitorExit(art::Thread*, art::mirror::Object*)
0.06%     main             2885  2885  /system/lib/libart.so                       art::OatFile::Begin() const
0.06%     app_process      2885  2885  /system/bin/linker                          [linker]LinkerSmallObjectAllocator::alloc()
0.05%     app_process      2885  2885  /system/bin/linker                          [linker]BufferOutputStream::Send(char const*, int)
0.05%     main             2885  2885  /system/lib/libart.so                       art::Monitor::MonitorEnter(art::Thread*, art::mirror::Object*)
0.05%     main             2885  2885  /system/lib/libart.so                       art::ArtMethod::GetOatQuickMethodHeader(unsigned int)
0.05%     app_process      2885  2885  /system/bin/linker                          [linker]soinfo::resolve_symbol_address(elf32_sym const*) const
0.05%     main             2885  2885  /system/lib/libart.so                       bool art::interpreter::DoCall<false, false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, art::JValue*)
0.05%     app_process      2885  2885  /system/lib/libandroidfw.so                 std::__1::__hash_table<unsigned long long, std::__1::hash<unsigned long long>, std::__1::equal_to<unsigned long long>, std::__1::allocator<unsigned long long> >::__insert_unique(unsigned long long const&)
0.05%     main             2885  2885  /system/vendor/lib/libudf.so                __udivdi3
0.05%     app_process      2885  2885  /system/vendor/lib/libudf.so                malloc
0.05%     Binder:2885_2    2885  3133  unknown                                     unknown
0.05%     am               2885  2885  /system/lib/libc.so                         je_realloc
0.05%     FinalizerWatchd  2885  3091  [kernel.kallsyms]                           unknown
0.05%     main             2885  2885  /system/framework/arm/boot-framework.oat    unknown
0.05%     main             2885  2885  /system/bin/linker                          [linker]ElfReader::ReserveAddressSpace(android_dlextinfo const*)
0.05%     main             2885  2885  /system/lib/libart.so                       art::ClassLinker::FixupStaticTrampolines(art::mirror::Class*)
0.03%     main             2885  2885  /system/lib/libart.so                       art::ClassLinker::FindClass(art::Thread*, char const*, art::Handle<art::mirror::ClassLoader>)
0.03%     main             2885  2885  /system/lib/libart.so                       art::GetStackOverflowReservedBytes(art::InstructionSet)
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]std::__1::__murmur2_or_cityhash<unsigned int, 32u>::operator()(void const*, unsigned int)
0.03%     main             2885  2885  /system/lib/libart.so                       art::mirror::Class::GetInterfaceTypeList()
0.03%     main             2885  2885  /system/lib/libart.so                       art::Mutex::ExclusiveUnlock(art::Thread*)
0.03%     am               2885  2885  /system/bin/linker                          [linker]void std::__1::vector<LoadTask*, std::__1::allocator<LoadTask*> >::__push_back_slow_path<LoadTask*>(LoadTask*&&)
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]soinfo::soinfo(android_namespace_t*, char const*, stat const*, long long, int)
0.03%     am               2885  2885  /system/bin/linker                          [linker]soinfo::generate_handle()
0.03%     app_process      2885  2885  /system/lib/libart.so                       art::MemMap::MemMap(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&, unsigned char*, unsigned int, void*, unsigned int, int, bool, unsigned int)
0.03%     am               2885  2885  /system/bin/linker                          [linker]find_libraries(android_namespace_t*, soinfo*, char const* const*, unsigned int, soinfo**, std::__1::vector<soinfo*, std::__1::allocator<soinfo*> >*, unsigned int, int, android_dlextinfo const*, bool)
0.03%     am               2885  2885  /system/bin/linker                          [linker]MappedFileFragment::~MappedFileFragment()
0.03%     main             2885  2885  /system/lib/libart.so                       art_quick_alloc_object_rosalloc
0.03%     main             2885  2885  /system/lib/libc++.so                       operator new(unsigned int)
0.03%     main             2885  2885  /system/lib/libart.so                       art::gc::allocator::RosAlloc::AllocFromRun(art::Thread*, unsigned int, unsigned int*, unsigned int*, unsigned int*)
0.03%     am               2885  2885  /system/bin/linker                          [linker]__aeabi_memclr_impl
0.03%     main             2885  2885  /system/lib/libart.so                       art::ClassLinker::EnsureResolved(art::Thread*, char const*, art::mirror::Class*)
0.03%     main             2885  2885  /system/bin/linker                          [linker]__strchr_chk
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]strstr
0.03%     am               2885  2885  /system/bin/linker                          [linker]safe_add(long long*, long long, unsigned int)
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]phdr_table_protect_gnu_relro(elf32_phdr const*, unsigned int, unsigned int)
0.03%     am               2885  2885  /system/bin/linker                          [linker]___close
0.03%     am               2885  2885  /system/lib/libc.so                         memcpy
0.03%     main             2885  2885  /system/bin/linker                          [linker]__aeabi_uidivmod
0.03%     am               2885  2885  /system/lib/libc.so                         malloc
0.03%     main             2885  2885  /system/bin/linker                          [linker]soinfo::find_verdef_version_index(version_info const*, unsigned short*) const
0.03%     main             2885  2885  /system/lib/libart.so                       art::mirror::PrimitiveArray<unsigned short>::Alloc(art::Thread*, unsigned int)
0.03%     main             2885  2885  /system/lib/libart.so                       art::DexFile::FindClassDef(char const*, unsigned int) const
0.03%     am               2885  2885  /system/bin/linker                          [linker]is_symbol_global_and_defined(soinfo const*, elf32_sym const*)
0.03%     am               2885  2885  /system/bin/linker                          [linker]LinkerSmallObjectAllocator::alloc()
0.03%     main             2885  2885  /system/lib/libart.so                       art::StackVisitor::StackVisitor(art::Thread*, art::Context*, art::StackVisitor::StackWalkKind)
0.03%     am               2885  2885  /system/lib/libc.so                         memchr
0.03%     main             2885  2885  /system/lib/libart.so                       art::ClassLinker::IsQuickResolutionStub(void const*) const
0.03%     main             2885  2885  /system/lib/libart.so                       art::CacheClass(_JNIEnv*, char const*)
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]format_integer(char*, unsigned int, unsigned long long, char)
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]mprotect
0.03%     main             2885  2885  /system/bin/linker                          [linker]ElfReader::ReadDynamicSection()
0.03%     main             2885  2885  /system/lib/libart.so                       art::LinkFieldsComparator::operator()(art::ArtField*, art::ArtField*)
0.03%     am               2885  2885  /system/bin/linker                          [linker]soinfo::find_verdef_version_index(version_info const*, unsigned short*) const
0.03%     app_process      2885  2885  /system/vendor/lib/libudf.so                __aeabi_llsl
0.03%     app_process      2885  2885  /system/lib/libart.so                       art::DlOpenOatFile::PreSetup(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&)::dl_iterate_context::callback(dl_phdr_info*, unsigned int, void*)
0.03%     main             2885  2885  /system/lib/libart.so                       art::ComputeModifiedUtf8Hash(char const*)
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]__libc_format_buffer
0.03%     app_process      2885  2885  /system/lib/libart.so                       void std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >::__push_back_slow_path<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&>(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&&&)
0.03%     main             2885  2885  /system/vendor/lib/libudf.so                __udivsi3
